PEACOCKS,Larry Fitzgerald,WR | ARI,1
PEACOCKS,Cameron Jordan,DL | NO,10
PLACEHOLDER,Kyler Murray,QB | ARI,10
PLACEHOLDER,Travis Kelce,TE | KC,21
PLACEHOLDER,Robbie Gould,K | SF,2
PLACEHOLDER,Keanu Neal,DB | ATL,5
PLACEHOLDER,Clayton Geathers,DB | IND,2
PLACEHOLDER,Jayon Brown,LB | TEN,1
PLACEHOLDER,Duke Johnson,RB | HOU,12
PLACEHOLDER,Tevin Coleman,RB | SF,10
PLACEHOLDER,Tom Brady,QB | NE,10
PLACEHOLDER,Jacoby Brissett,QB | IND,5
PLACEHOLDER,Jordan Howard,RB | PHI,1
PLACEHOLDER,Keke Coutee,WR | HOU,1
PLACEHOLDER,Rex Burkhead,RB | NE,1
SKEET BALL,Mark Andrews,TE | BAL,1
SKEET BALL,Justin Tucker,K | BAL,1
SKEET BALL,Donte Jackson,DB | CAR,1
SKEET BALL,Aaron Rodgers,QB | GB,22
SKEET BALL,N'Keal Harry,WR | NE,2
SKEET BALL,Rashaad Penny,RB | SEA,1
SKEET BALL,DeSean Jackson,WR | PHI,2
SKEET BALL,Jerick McKinnon,RB | SF,1
TEAM SUZY,David Montgomery,RB | CHI,11
TEAM SUZY,Charvarius Ward,DB | KC,1
TEAM SUZY,Royce Freeman,RB | DEN,1
TEAM SUZY,Ronald Jones,RB | TB,1
TEAM SUZY,Kalen Ballage,RB | MIA,1
TEAM SUZY,Darwin Thompson,RB | KC,1
TEAM SUZY,Justin Simmons,DB | DEN,1
VETERAN MINIMUM,Case Keenum,QB | WAS,3
VETERAN MINIMUM,Christian McCaffrey,RB | CAR,53
VETERAN MINIMUM,Devin Singletary,RB | BUF,7
VETERAN MINIMUM,Michael Gallup,WR | DAL,1
VETERAN MINIMUM,DK Metcalf,WR | SEA,1
VETERAN MINIMUM,O.J. Howard,TE | TB,9
VETERAN MINIMUM,Jared Cook,TE | NO,6
VETERAN MINIMUM,Mike Badgley,K | LAC,2
VETERAN MINIMUM,C.J. Mosley,LB | NYJ,11
VETERAN MINIMUM,Derwin James,DB | LAC,9
VETERAN MINIMUM,Malcolm Jenkins,DB | PHI,7
VETERAN MINIMUM,Kyle Van Noy,LB | NE,2
VETERAN MINIMUM,J.J. Arcega-Whiteside,WR | PHI,1
VETERAN MINIMUM,Eric Kendricks,LB | MIN,3
VETERAN MINIMUM,Miles Boykin,WR | BAL,1
VETERAN MINIMUM,Fletcher Cox,DL | PHI,1
VETERAN MINIMUM,Jadeveon Clowney,DL | SEA,8
VETERAN MINIMUM,Cameron Heyward,DL | PIT,5
