The Tank,Kenny Stills,WR,Won at $2
Odell Beckham Jesus,A.J. Bouye,DB,Dropped
Odell Beckham Jesus,Kareem Jackson,DB,Won at $6
Peacocks,Yannick Ngakoue,DL,Dropped
Peacocks,Jordan Poyer,DB,Won at $1
Veteran Minimum,Marquez Valdes-Scantling,WR,Dropped
Veteran Minimum,Gus Edwards,RB,Won at $1
Peacocks,O.J. Howard,TE,Dropped
Peacocks,Cameron Brate,TE,Won at $4
Placeholder,Everson Griffen,DL,Dropped
Placeholder,Colt McCoy,QB,Won at $5
2 Gurleys 1 Kupp,Brandon Graham,DL,Dropped
2 Gurleys 1 Kupp,Josh Adams,RB,Won at $0
2017 Cleveland Browns,Kareem Jackson,DB,Dropped
2017 Cleveland Browns,Devin McCourty,DB,Won at $0
2 Gurleys 1 Kupp,Doug Martin,RB,Dropped
2 Gurleys 1 Kupp,Elijah McGuire,RB,Won at $0
FUCK YOU LEVEON JUST PLAY,Frank Gore,RB,Won at $2
FUCK YOU LEVEON JUST PLAY,Mark Barron,LB,Dropped
FUCK YOU LEVEON JUST PLAY,Anthony Miller,WR,Won at $3
Veteran Minimum,Wendell Smallwood,RB,Dropped
Veteran Minimum,Jeff Heuerman,TE,Won at $3
Team Suzy,Jaylon Smith,LB,Dropped
Team Suzy,Matt Bryant,K,Won at $4
Odell Beckham Jesus,Matthew Ioannidis,DL,Dropped
Odell Beckham Jesus,Maurice Hurst,DL,Won at $5
SKEET BALL,Chris Herndon,TE,Dropped
SKEET BALL,Jameis Winston,QB,Won at $31
Odell Beckham Jesus,Vance McDonald,TE,Dropped
FUCK YOU LEVEON JUST PLAY,Mike Davis,RB,Dropped
2 Gurleys 1 Kupp,Preston Brown,LB,Dropped
2 Gurleys 1 Kupp,Doug Martin,RB,Won at $0
Garropoyolo,Leonard Williams,DL,Dropped
Garropoyolo,Ndamukong Suh,DL,Won at $0
Odell Beckham Jesus,Kyle Van Noy,LB,Dropped
Odell Beckham Jesus,Jayon Brown,LB,Won at $0
Odell Beckham Jesus,Justin Evans,DB,Dropped
Odell Beckham Jesus,Matthew Ioannidis,DL,Won at $0
Placeholder,Ronald Darby,DB,Dropped
Placeholder,Theo Riddick,RB,Won at $0
Team Suzy,Damarious Randall,DB,Dropped
Team Suzy,Mason Foster,LB,Won at $3
The Tank,D.J. Swearinger,DB,Dropped
The Tank,Carlos Dunlap,DL,Won at $1
Garropoyolo,Benjamin Watson,TE,Dropped
Garropoyolo,Royce Freeman,RB,Won at $2
Odell Beckham Jesus,Vance McDonald,TE,Won at $4
Team Suzy,Doug Martin,RB,Dropped
Team Suzy,Jatavis Brown,LB,Won at $4
Odell Beckham Jesus,Devontae Booker,RB,Dropped
Odell Beckham Jesus,A.J. Bouye,DB,Won at $4
It's Complicated,Mason Foster,LB,Dropped
It's Complicated,Le'Veon Bell,RB,Won at $31
2 Gurleys 1 Kupp,Eric Ebron,TE,Traded From SKEET BALL
2 Gurleys 1 Kupp,Tom Brady,QB,Traded From SKEET BALL
SKEET BALL,Austin Hooper,TE,Traded From 2 Gurleys 1 Kupp
SKEET BALL,Christian Kirksey,LB,Traded From 2 Gurleys 1 Kupp
Garropoyolo,Jay Ajayi,RB,Traded From Team Suzy
Team Suzy,Leonard Fournette,RB,Traded From Garropoyolo
The Tank,Deion Jones,LB,Traded From Team Suzy
Team Suzy,DeAndre Hopkins,WR,Traded From The Tank
The Tank,Will Fuller,WR,Traded From FUCK YOU LEVEON JUST PLAY
FUCK YOU LEVEON JUST PLAY,Odell Beckham,WR,Traded From The Tank
Odell Beckham Jesus,Marcell Dareus,DL,Dropped
Placeholder,James Bradberry,DB,Dropped
Placeholder,Shawn Williams,DB,Won at $0
Placeholder,Trey Flowers,DL,Dropped
Placeholder,Everson Griffen,DL,Won at $0
2017 Cleveland Browns,Ed Dickson,TE,Dropped
2017 Cleveland Browns,C.J. Uzomah,TE,Won at $0
Placeholder,Carlos Hyde,RB,Dropped
Placeholder,Peyton Barber,RB,Won at $0
2017 Cleveland Browns,Devin McCourty,DB,Dropped
2017 Cleveland Browns,Latavius Murray,RB,Won at $0
2017 Cleveland Browns,Cordarrelle Patterson,WR,Dropped
2017 Cleveland Browns,Kareem Jackson,DB,Won at $0
FUCK YOU LEVEON JUST PLAY,Le'Veon Bell,RB,Dropped
